,dataset,model,bs,amp,fusion,scale,speed(s),parameters,MACs,gpu_util,gmem_util,gmem
0,cifar10,resnet18,256,False,1,8,5.594202995300293,176.402K,2.486M,13.091,2.03,1581
0,cifar10,resnet18,256,False,1,1,6.097805500030518,11.174M,141.000M,52.755,29.962,2335
0,cifar10,resnet18,256,False,10,8,9.397696018218994,1.764M,24.862M,63.967,50.889,2513
0,cifar10,resnet18,256,False,20,8,15.24996304512024,3.528M,49.724M,80.794,68.059,3515
0,cifar10,resnet18,256,False,10,1,38.43698787689209,111.740M,1.410G,92.339,58.935,9515
0,cifar10,resnet18,256,False,25,8,18.318830966949463,4.410M,62.155M,73.46,60.414,4065
0,cifar10,resnet18,256,False,100,8,38.26838827133179,17.640M,248.621M,92.442,66.427,11603
0,cifar10,resnet18,256,False,20,1,72.66855978965759,223.479M,2.820G,95.682,65.609,17601
0,cifar10,resnet18,256,False,150,8,56.110116481781006,26.460M,372.931M,96.754,70.047,16795
0,cifar10,resnet18,256,False,25,1,89.13874983787537,279.349M,3.525G,96.519,67.698,21627
0,cifar10,resnet18,256,False,220,8,81.04371666908264,38.808M,546.966M,94.332,72.215,23921
